OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: D7-F6; OM: C1-C2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: E7-E6; OM: F4-F5;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: E7-F7; OM: G2-G3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: F7-F6; OM: C1-D1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: F7-E7; OM: G2-F2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: F7-G7; OM: D2-E2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: G7-G6; OM: D1-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: G7-F7; OM: D2-C2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: G7-H7; OM: F4-E4;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: B8-B7; OM: B1-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: B8-C8; OM: C2-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: C8-C7; OM: E2-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: C8-B8; OM: D1-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: C8-D8; OM: D1-E1;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: D8-C8; OM: D1-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: D8-E8; OM: G2-G3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: E8-E7; OM: D2-C2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: E8-D8; OM: C2-D2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: E8-F8; OM: B1-B2;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: F8-F7; OM: F1-G3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: F8-E8; OM: F1-E3;
OM: F2-E2; EM: B7-B6; OM: E2-F4; EM: C7-D7; OM: G1-F1; EM: F8-G8; OM: B2-A2;
